Datum,KielerWoche
22-06-13,1
23-06-13,1
24-06-13,1
25-06-13,1
26-06-13,1
27-06-13,1
28-06-13,1
29-06-13,1
30-06-13,1
21-06-14,1
22-06-14,1
23-06-14,1
24-06-14,1
25-06-14,1
26-06-14,1
27-06-14,1
28-06-14,1
29-06-14,1
20-06-15,1
21-06-15,1
22-06-15,1
23-06-15,1
24-06-15,1
25-06-15,1
26-06-15,1
27-06-15,1
28-06-15,1
18-06-16,1
19-06-16,1
20-06-16,1
21-06-16,1
22-06-16,1
23-06-16,1
24-06-16,1
25-06-16,1
26-06-16,1
17-06-17,1
18-06-17,1
19-06-17,1
20-06-17,1
21-06-17,1
22-06-17,1
23-06-17,1
24-06-17,1
25-06-17,1
16-06-18,1
17-06-18,1
18-06-18,1
19-06-18,1
20-06-18,1
21-06-18,1
22-06-18,1
23-06-18,1
24-06-18,1
22-06-19,1
23-06-19,1
24-06-19,1
25-06-19,1
26-06-19,1
27-06-19,1
28-06-19,1
29-06-19,1
30-06-19,1
